sensor,pulses,rpm,period_us,age_ms
vacuum1,4,2146,27996,3
vacuum1,3,2147,27934,19
vacuum1,4,2146,27996,7
vacuum1,3,2147,27934,23
vacuum1,4,2146,27997,11
vacuum1,3,2146,27937,27
vacuum1,4,2148,27939,16
vacuum1,4,2147,27944,4
vacuum1,3,2145,28002,20
vacuum1,4,2146,27941,8
vacuum1,3,2147,27943,24
vacuum1,4,2147,27941,13
vacuum1,4,2147,27944,1
vacuum1,3,2145,27942,17
vacuum1,4,2145,27945,5
vacuum1,3,2147,27943,21
vacuum1,4,2145,28002,10
vacuum1,3,2147,27940,26
vacuum1,4,2145,28003,14
vacuum1,4,2148,27942,2
vacuum1,3,2145,27943,18
vacuum1,4,2147,27947,6
vacuum1,3,2145,27946,23
vacuum1,4,2147,27940,11
vacuum1,3,2147,27938,27
vacuum1,4,2147,27939,15
vacuum1,4,2146,27943,3
vacuum1,3,2147,27941,20
vacuum1,4,2146,27939,8
vacuum1,3,2147,27941,24
vacuum1,4,2146,27940,12
vacuum1,4,2146,27940,0
vacuum1,3,2147,27940,16
vacuum1,4,2147,28001,5
vacuum1,3,2147,27938,21
vacuum1,4,2146,27937,9
vacuum1,3,2144,27997,25
vacuum1,4,2129,28313,12
vacuum1,3,2119,28314,27
vacuum1,4,2120,28251,14
vacuum1,4,2126,28125,1
vacuum1,3,2147,27810,18
vacuum1,4,2170,27623,7
vacuum1,3,2168,27689,24
vacuum1,4,2158,27936,13
vacuum1,4,2130,28316,0
vacuum1,3,2111,28439,15
vacuum1,4,2105,28499,1
vacuum1,3,2111,28371,16
vacuum1,4,2113,28374,2
vacuum1,3,2117,28375,17
vacuum1,4,2120,28310,4
vacuum1,3,2125,28187,19
vacuum1,4,2127,28188,7
vacuum1,3,2130,28190,22
vacuum1,4,2132,28125,9
vacuum1,3,2131,28125,25
vacuum1,4,2133,28121,13
vacuum1,4,2133,28123,0
vacuum1,3,2133,28126,16
vacuum1,4,2132,28125,3
vacuum1,3,2131,28186,19
vacuum1,4,2132,28124,6
vacuum1,3,2133,28125,22
vacuum1,4,2132,28124,9
vacuum1,3,2131,28123,25
vacuum1,4,2134,28061,12
vacuum1,3,2134,28065,28
vacuum1,4,2133,28125,15
vacuum1,4,2134,28129,3
vacuum1,3,2133,28127,19
vacuum1,4,2134,28067,6
vacuum1,3,2135,28072,22
vacuum1,4,2136,28130,10
vacuum1,3,2138,28065,25
vacuum1,4,2137,28070,13
vacuum1,4,2137,28070,1
vacuum1,3,2137,28067,17
vacuum1,4,2138,28065,4
vacuum1,3,2139,28065,20
vacuum1,4,2139,28069,8
vacuum1,3,2139,28064,24
vacuum1,4,2139,28060,12
vacuum1,3,2138,28059,28
vacuum1,4,2138,28062,15
vacuum1,4,2138,28063,3
vacuum1,3,2138,28059,19
vacuum1,4,2139,28060,7
vacuum1,3,2141,28058,23
vacuum1,4,2139,28064,11
vacuum1,3,2138,28059,26
vacuum1,4,2140,27996,14
vacuum1,4,2138,28061,2
vacuum1,3,2138,28062,18
vacuum1,4,2139,28061,6
vacuum1,3,2138,28064,21
vacuum1,4,2138,28064,9
vacuum1,3,2136,28122,25
vacuum1,4,2139,28064,13
vacuum1,4,2138,28056,1
vacuum1,3,2138,28061,16
vacuum1,4,2137,28123,4
